,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
10,"brand c., dons e., anaya-boig e., avila-palencia i., clark a., de nazelle a., gascon m., gaupp-berghausen m., gerike r., götschi t., iacorossi f., kahlmeier s., laeremans m., nieuwenhuijsen m.j., pablo orjuela j., racioppi f., raser e., rojas-rueda d., standaert a., stigell e., sulikova s., wegener s., int panis l.",23018199200;37103767900;56964093600;56964279600;57200918199;6504250744;36760639100;56780389200;54982953700;6602263582;57200495218;6507654295;56964455900;7007123042;57222135512;6602978935;56964526400;57203642966;57188572690;26535276600;57221739874;57159187000;55667470800;,The climate change mitigation effects of daily active travel in cities,"Transport Studies Unit, University of Oxford, Oxford, United Kingdom; Centre for Research on Energy Demand Solutions, University of Oxford, Oxford, United Kingdom; Flemish Institute for Technological Research (VITO), Mol, Belgium; Centre for Environmental Sciences, Hasselt University, Diepenbeek, Belgium; Centre for Environmental Policy, Imperial College London, London, United Kingdom; ISGlobal, Barcelona, Spain; Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, United States; Trivector Traffic, Stockholm, Sweden; Universitat Pompeu Fabra (UPF), Barcelona, Spain; CIBER Epidemiología y Salud Pública (CIBERESP), Spain; Austrian Institute for Regional Studies (ÖIR), Vienna, Austria; Dresden University of Technology, Chair of Integrated Transport Planning and Traffic Engineering, Dresden, Germany; University of Oregon, School of Planning, Public Policy and Management, Eugene, OR, United States; Agenzia Roma Servizi per la Mobilita' Srl, Rome, Italy; Department of Health, Swiss Distance University of Applied Science (FFHS), Brig, Switzerland; Biostatistics and Prevention Institute (EBPI), Epidemiology, University of Zurich, Zurich, Switzerland; World Health Organization Regional Office for Europe, European Centre for Environment and Health, Bonn, Germany; University of Natural Resources and Life Sciences Vienna, Institute for Transport Studies, Vienna, Austria; Department of Environmental and Radiological Health Sciences, Colorado State University, Fort Collins, CO, United States; Transportation Research Institute (IMOB), Hasselt University, Diepenbeek, Belgium; Austrian Federal Railways (ÖBB), Vienna, Austria","Brand, C., Transport Studies Unit, University of Oxford, Oxford, United Kingdom, Centre for Research on Energy Demand Solutions, University of Oxford, Oxford, United Kingdom; Dons, E., Flemish Institute for Technological Research (VITO), Mol, Belgium, Centre for Environmental Sciences, Hasselt University, Diepenbeek, Belgium; Anaya-Boig, E., Centre for Environmental Policy, Imperial College London, London, United Kingdom; Avila-Palencia, I., ISGlobal, Barcelona, Spain, Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, United States; Clark, A., Trivector Traffic, Stockholm, Sweden; de Nazelle, A., Centre for Environmental Policy, Imperial College London, London, United Kingdom; Gascon, M., ISGlobal, Barcelona, Spain, Universitat Pompeu Fabra (UPF), Barcelona, Spain, CIBER Epidemiología y Salud Pública (CIBERESP), Spain; Gaupp-Berghausen, M., Austrian Institute for Regional Studies (ÖIR), Vienna, Austria; Gerike, R., Dresden University of Technology, Chair of Integrated Transport Planning and Traffic Engineering, Dresden, Germany; Götschi, T., University of Oregon, School of Planning, Public Policy and Management, Eugene, OR, United States; Iacorossi, F., Agenzia Roma Servizi per la Mobilita' Srl, Rome, Italy; Kahlmeier, S., Department of Health, Swiss Distance University of Applied Science (FFHS), Brig, Switzerland, Biostatistics and Prevention Institute (EBPI), Epidemiology, University of Zurich, Zurich, Switzerland; Laeremans, M., Flemish Institute for Technological Research (VITO), Mol, Belgium, Transportation Research Institute (IMOB), Hasselt University, Diepenbeek, Belgium; Nieuwenhuijsen, M.J., ISGlobal, Barcelona, Spain, Universitat Pompeu Fabra (UPF), Barcelona, Spain, CIBER Epidemiología y Salud Pública (CIBERESP), Spain; Pablo Orjuela, J., Transport Studies Unit, University of Oxford, Oxford, United Kingdom, Centre for Environmental Policy, Imperial College London, London, United Kingdom; Racioppi, F., World Health Organization Regional Office for Europe, European Centre for Environment and Health, Bonn, Germany; Raser, E., Austrian Federal Railways (ÖBB), Vienna, Austria; Rojas-Rueda, D., ISGlobal, Barcelona, Spain, Department of Environmental and Radiological Health Sciences, Colorado State University, Fort Collins, CO, United States; Standaert, A., Flemish Institute for Technological Research (VITO), Mol, Belgium; Stigell, E., Trivector Traffic, Stockholm, Sweden; Sulikova, S., Transport Studies Unit, University of Oxford, Oxford, United Kingdom; Wegener, S., University of Natural Resources and Life Sciences Vienna, Institute for Transport Studies, Vienna, Austria; Int Panis, L., Flemish Institute for Technological Research (VITO), Mol, Belgium, Centre for Environmental Sciences, Hasselt University, Diepenbeek, Belgium, Transportation Research Institute (IMOB), Hasselt University, Diepenbeek, Belgium",active mobility; climate change mitigation; co2 emissions; cycling; sustainable urban transport; walking
11,"verichev k., zamorano m., fuentes-sepúlveda a., cárdenas n., carpio m.",56375156300;8974887300;57221787556;57221781359;35174256100;,Adaptation and mitigation to climate change of envelope wall thermal insulation of residential buildings in a temperate oceanic climate,"Department of Civil Engineering, University of Granada, Severo Ochoa S/N, Granada, Spain; Institute of Civil Engineering, Universidad Austral de Chile, General Lagos 2050, Valdivia, Chile; Department of Construction Engineering and Management, School of Engineering, Pontificia Universidad Católica de Chile, Avenida Vicuña Mackenna 4860, Santiago, Chile; PROMA, Proyectos de Ingeniería Ambiental, S.L., Granada, Spain; UC Energy Research Center, Pontificia Universidad Católica de Chile, Avenida Vicuña Mackenna 4860, Santiago, Chile","Verichev, K., Department of Civil Engineering, University of Granada, Severo Ochoa S/N, Granada, Spain, Institute of Civil Engineering, Universidad Austral de Chile, General Lagos 2050, Valdivia, Chile, Department of Construction Engineering and Management, School of Engineering, Pontificia Universidad Católica de Chile, Avenida Vicuña Mackenna 4860, Santiago, Chile; Zamorano, M., Department of Civil Engineering, University of Granada, Severo Ochoa S/N, Granada, Spain, PROMA, Proyectos de Ingeniería Ambiental, S.L., Granada, Spain; Fuentes-Sepúlveda, A., Institute of Civil Engineering, Universidad Austral de Chile, General Lagos 2050, Valdivia, Chile; Cárdenas, N., Institute of Civil Engineering, Universidad Austral de Chile, General Lagos 2050, Valdivia, Chile; Carpio, M., Department of Construction Engineering and Management, School of Engineering, Pontificia Universidad Católica de Chile, Avenida Vicuña Mackenna 4860, Santiago, Chile, UC Energy Research Center, Pontificia Universidad Católica de Chile, Avenida Vicuña Mackenna 4860, Santiago, Chile",building; building envelope; climate change; lca; thermal insulation
12,"murray e.g., digiorgio a.l.",57222636650;57222630904;,Will Individual Actions Do the Trick? Comparing Climate Change Mitigation Through Geoengineering Versus Reduced Vehicle Emissions,"Department of Astrophysical Sciences, Princeton University, Princeton, NJ, United States; Princeton Writing Program, Princeton, NJ, United States","Murray, E.G., Department of Astrophysical Sciences, Princeton University, Princeton, NJ, United States; DiGiorgio, A.L., Princeton Writing Program, Princeton, NJ, United States",carbon dioxide (co2) emissions; climate change; electric vehicles; geoengineering; hybrid vehicles; individual action
13,ratinen i.,13404461100;,"Students’ knowledge of climate change, mitigation and adaptation in the context of constructive hope","Faculty of Education, University of Lapland, Rovaniemi, 96101, Finland","Ratinen, I., Faculty of Education, University of Lapland, Rovaniemi, 96101, Finland",adaptation; climate change; constructive hope; knowledge; mitigation
14,"florea n.m., meghisan-toma g.-m., puiu s., meghisan f., doran m.d., niculescu m.",57210196066;55899644800;57216919503;55750618500;57216928200;56950224600;,Fiscal and budgetary policy efforts towards climate change mitigation in romania,"Department of Finance, Banking and Economic Analysis, Faculty of Economics and Business Administration, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania; UNESCO, Department for Business Administration, Faculty of Business Administration in Foreign Languages, Bucharest University of Economic Studies, 2-10 Caderea Bastiliei, District 1, Bucharest, 010375, Romania; National Institute of Economic Research “Costin C. Kiritescu”, Romanian Academy, 13 Calea 13 September, Bucharest, 050711, Romania; Department of Management, Marketing and Business Administration, Faculty of Economics and Business Administration, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania; Department of Management and Business Administration, Faculty of Economics and Law, University of Pitesti, 71 Republicii Street, Pitesti, 110014, Romania; Doctoral School of Economic Sciences, Faculty of Economics and Business Administration, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania; Department of Agricultural and Forestry Technologies, Faculty of Agriculture, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania","Florea, N.M., Department of Finance, Banking and Economic Analysis, Faculty of Economics and Business Administration, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania; Meghisan-Toma, G.-M., UNESCO, Department for Business Administration, Faculty of Business Administration in Foreign Languages, Bucharest University of Economic Studies, 2-10 Caderea Bastiliei, District 1, Bucharest, 010375, Romania, National Institute of Economic Research “Costin C. Kiritescu”, Romanian Academy, 13 Calea 13 September, Bucharest, 050711, Romania; Puiu, S., Department of Management, Marketing and Business Administration, Faculty of Economics and Business Administration, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania; Meghisan, F., Department of Management and Business Administration, Faculty of Economics and Law, University of Pitesti, 71 Republicii Street, Pitesti, 110014, Romania; Doran, M.D., Doctoral School of Economic Sciences, Faculty of Economics and Business Administration, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania; Niculescu, M., Department of Agricultural and Forestry Technologies, Faculty of Agriculture, University of Craiova, 13 A.I. Cuza Street, Craiova, 200585, Romania",climate action; climate change mitigation; environmental taxation; green taxation; greenhouse gas emissions
15,shrum t.r.,57201030690;,The salience of future impacts and the willingness to pay for climate change mitigation: an experiment in intergenerational framing,"University of Vermont, Burlington, VT  05405, United States","Shrum, T.R., University of Vermont, Burlington, VT  05405, United States",climate change mitigation; framing theory; intergenerational framing; psychological distance; randomized control experiment; salience
16,"brand c., götschi t., dons e., gerike r., anaya-boig e., avila-palencia i., de nazelle a., gascon m., gaupp-berghausen m., iacorossi f., kahlmeier s., int panis l., racioppi f., rojas-rueda d., standaert a., stigell e., sulikova s., wegener s., nieuwenhuijsen m.j.",23018199200;6602263582;37103767900;54982953700;56964093600;56964279600;6504250744;36760639100;56780389200;57200495218;6507654295;55667470800;6602978935;57203642966;57188572690;26535276600;57221739874;57159187000;7007123042;,The climate change mitigation impacts of active travel: Evidence from a longitudinal panel study in seven European cities,"Environmental Change Institute, University of Oxford, South Parks Road, Oxford, OX1 3QY, United Kingdom; University of Oregon, School of Planning, Public Policy and Management, Eugene, OR, United States; Flemish Institute for Technological Research (VITO), Boeretang 200, Mol, 2400, Belgium; Centre for Environmental Sciences, Hasselt University, Agoralaan Building D, Diepenbeek, 3590, Belgium; Dresden University of Technology, Chair of Integrated Transport Planning and Traffic Engineering, Dresden, 01062, Germany; Centre for Environmental Policy, Imperial College London, London, United Kingdom; ISGlobal, Barcelona, Spain; Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, United States; Universitat Pompeu Fabra (UPF), Barcelona, Spain; CIBER Epidemiología y Salud Pública (CIBERESP), Spain; Austrian Institute for Regional Studies (ÖIR), Vienna, Austria; Agenzia Roma Servizi per la Mobilita' Srl, Rome, Italy; Physical Activity and Health Unit, Epidemiology, Biostatistics and Prevention Institute, University of Zurich, Zurich, Switzerland; Fernfachhochschule Schweiz, Brig, Switzerland; World Health Organization Regional Office for Europe, European Centre for Environment and Health, Bonn, Germany; University of Natural Resources and Life Sciences Vienna, Institute for Transport Studies, Vienna, Austria; Department of Environmental and Radiological Health Sciences, Colorado State University, Fort CollinsCO, United States; Trivector Traffic, Barnhusgatan 16, Stockholm, Sweden; Transportation Research Institute (IMOB), Hasselt University, Diepenbeek, Belgium","Brand, C., Environmental Change Institute, University of Oxford, South Parks Road, Oxford, OX1 3QY, United Kingdom; Götschi, T., University of Oregon, School of Planning, Public Policy and Management, Eugene, OR, United States; Dons, E., Flemish Institute for Technological Research (VITO), Boeretang 200, Mol, 2400, Belgium, Centre for Environmental Sciences, Hasselt University, Agoralaan Building D, Diepenbeek, 3590, Belgium; Gerike, R., Dresden University of Technology, Chair of Integrated Transport Planning and Traffic Engineering, Dresden, 01062, Germany; Anaya-Boig, E., Centre for Environmental Policy, Imperial College London, London, United Kingdom; Avila-Palencia, I., ISGlobal, Barcelona, Spain, Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, United States; de Nazelle, A., Centre for Environmental Policy, Imperial College London, London, United Kingdom; Gascon, M., ISGlobal, Barcelona, Spain, Universitat Pompeu Fabra (UPF), Barcelona, Spain, CIBER Epidemiología y Salud Pública (CIBERESP), Spain; Gaupp-Berghausen, M., Austrian Institute for Regional Studies (ÖIR), Vienna, Austria; Iacorossi, F., Agenzia Roma Servizi per la Mobilita' Srl, Rome, Italy; Kahlmeier, S., Physical Activity and Health Unit, Epidemiology, Biostatistics and Prevention Institute, University of Zurich, Zurich, Switzerland, Fernfachhochschule Schweiz, Brig, Switzerland; Int Panis, L., Flemish Institute for Technological Research (VITO), Boeretang 200, Mol, 2400, Belgium, Centre for Environmental Sciences, Hasselt University, Agoralaan Building D, Diepenbeek, 3590, Belgium, Transportation Research Institute (IMOB), Hasselt University, Diepenbeek, Belgium; Racioppi, F., World Health Organization Regional Office for Europe, European Centre for Environment and Health, Bonn, Germany; Rojas-Rueda, D., ISGlobal, Barcelona, Spain, Department of Environmental and Radiological Health Sciences, Colorado State University, Fort CollinsCO, United States; Standaert, A., Flemish Institute for Technological Research (VITO), Boeretang 200, Mol, 2400, Belgium; Stigell, E., Trivector Traffic, Barnhusgatan 16, Stockholm, Sweden; Sulikova, S., Environmental Change Institute, University of Oxford, South Parks Road, Oxford, OX1 3QY, United Kingdom; Wegener, S., University of Natural Resources and Life Sciences Vienna, Institute for Transport Studies, Vienna, Austria; Nieuwenhuijsen, M.J., ISGlobal, Barcelona, Spain, Universitat Pompeu Fabra (UPF), Barcelona, Spain, CIBER Epidemiología y Salud Pública (CIBERESP), Spain",active travel; climate change mitigation; cycling; lifecycle co2 emissions; sustainable urban transport; walking
17,"gillis a., vandenbergh m., raimi k., maki a., wallston k.",57219946821;9745962600;56206094300;56818597700;7004855766;,Convincing conservatives: Private sector action can bolster support for climate change mitigation in the United States,"The Pennsylvania State University, Department of Psychology, United States; Vanderbilt University, Law School, United States; University of Michigan, Ford School of Public Policy, United States; American Academy for the Advancement of Science, United States; Vanderbilt University, School of Nursing, United States","Gillis, A., The Pennsylvania State University, Department of Psychology, United States; Vandenbergh, M., Vanderbilt University, Law School, United States; Raimi, K., University of Michigan, Ford School of Public Policy, United States; Maki, A., American Academy for the Advancement of Science, United States; Wallston, K., Vanderbilt University, School of Nursing, United States",climate change policy; climate communications; ideology; mitigation support; private sector climate approaches; solution aversion
18,"fekete h., kuramochi t., roelfsema m., elzen m.d., forsell n., höhne n., luna l., hans f., sterl s., olivier j., van soest h., frank s., gusti m.",55966562200;26967718200;55598940700;6602757925;26026893900;55892667200;57204649452;57221274168;57193496954;7103215559;57035239200;55584015900;57200527876;,A review of successful climate change mitigation policies in major emitting economies and the potential of global replication,"NewClimate Institute, Cologne, Germany; Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands; PBL Netherlands Environmental Assessment Agency, The Hague, Netherlands; International Institute for Applied Systems Analysis, Laxenburg, Austria; Environmental Systems Analysis Group, Wageningen University, Wageningen, Netherlands; University of Potsdam, Institute for Environmental Science and Geography, Potsdam, Germany; Department of Earth and Environmental Sciences, KU Leuven, Leuven, Belgium; B-Climate Group, Faculty of Engineering, Vrije Universiteit Brussel, Brussels, Belgium","Fekete, H., NewClimate Institute, Cologne, Germany; Kuramochi, T., NewClimate Institute, Cologne, Germany, Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands; Roelfsema, M., Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands, PBL Netherlands Environmental Assessment Agency, The Hague, Netherlands; Elzen, M.D., PBL Netherlands Environmental Assessment Agency, The Hague, Netherlands; Forsell, N., International Institute for Applied Systems Analysis, Laxenburg, Austria; Höhne, N., NewClimate Institute, Cologne, Germany, Environmental Systems Analysis Group, Wageningen University, Wageningen, Netherlands; Luna, L., NewClimate Institute, Cologne, Germany, University of Potsdam, Institute for Environmental Science and Geography, Potsdam, Germany; Hans, F., NewClimate Institute, Cologne, Germany; Sterl, S., NewClimate Institute, Cologne, Germany, Department of Earth and Environmental Sciences, KU Leuven, Leuven, Belgium, B-Climate Group, Faculty of Engineering, Vrije Universiteit Brussel, Brussels, Belgium; Olivier, J., PBL Netherlands Environmental Assessment Agency, The Hague, Netherlands; van Soest, H., Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands, PBL Netherlands Environmental Assessment Agency, The Hague, Netherlands; Frank, S., International Institute for Applied Systems Analysis, Laxenburg, Austria; Gusti, M., International Institute for Applied Systems Analysis, Laxenburg, Austria",greenhouse gas emissions reductions; nationally determined contributions; policy review; replication of progress; sector climate policy; sector progress
19,"pergent-martini c., pergent g., monnier b., boudouresque c.-f., mori c., valette-sansevin a.",6701812589;7004838371;57194491528;7003313303;57216072350;57113541700;,Contribution of Posidonia oceanica meadows in the context of climate change mitigation in the Mediterranean Sea,"FRES 3041 – UMR 6134, Coastal Ecosystems Team, University of Corsica, Corte20250, France; Aix-Marseille University and University of Toulon, MIO (Mediterranean Institute of Oceanography), CNRS, IRD, Campus de Luminy, Marseille, France","Pergent-Martini, C., FRES 3041 – UMR 6134, Coastal Ecosystems Team, University of Corsica, Corte20250, France; Pergent, G., FRES 3041 – UMR 6134, Coastal Ecosystems Team, University of Corsica, Corte20250, France; Monnier, B., FRES 3041 – UMR 6134, Coastal Ecosystems Team, University of Corsica, Corte20250, France; Boudouresque, C.-F., Aix-Marseille University and University of Toulon, MIO (Mediterranean Institute of Oceanography), CNRS, IRD, Campus de Luminy, Marseille, France; Mori, C., FRES 3041 – UMR 6134, Coastal Ecosystems Team, University of Corsica, Corte20250, France; Valette-Sansevin, A., FRES 3041 – UMR 6134, Coastal Ecosystems Team, University of Corsica, Corte20250, France",carbon fixation; carbon sequestration; corsica; mediterranean sea; posidonia oceanica; seagrass
20,"ewunetie g.g., miheretu b.a., mareke g.t.",57219967096;57192135557;57219962576;,Carbon stock potential of Sekele Mariam forest in North Western Ethiopia: an implication for climate change mitigation,"Department of Natural Resource Management, University of Gondar, Gondar, Ethiopia; Department of Geography and Environmental Studies, Wollo University, Dessie, Ethiopia","Ewunetie, G.G., Department of Natural Resource Management, University of Gondar, Gondar, Ethiopia; Miheretu, B.A., Department of Geography and Environmental Studies, Wollo University, Dessie, Ethiopia; Mareke, G.T., Department of Geography and Environmental Studies, Wollo University, Dessie, Ethiopia",biomass; carbon stock; ethiopia; sekele mariam forest
21,"tauseef hassan s., xia e., lee c.-c.",57217201325;7004444140;8601620600;,"Mitigation pathways impact of climate change and improving sustainable development: The roles of natural resources, income, and CO2 emission","School of Management and Economics, Beijing Institute of Technology, Beijing, China; Research Center of the Central China for Economic and Social Development, Nanchang University, Nanchang, China; School of Economics and Management, Nanchang University, Nanchang, China","Tauseef Hassan, S., School of Management and Economics, Beijing Institute of Technology, Beijing, China; Xia, E., School of Management and Economics, Beijing Institute of Technology, Beijing, China; Lee, C.-C., Research Center of the Central China for Economic and Social Development, Nanchang University, Nanchang, China, School of Economics and Management, Nanchang University, Nanchang, China",climate change; co2 emissions; environmental kuznets curve; natural resources; pakistan
22,"chiriacò m.v., valentini r.",37110775500;35410947600;,A land-based approach for climate change mitigation in the livestock sector,"CMCC – Fondazione Centro Euro-Mediterraneo Sui Cambiamenti Climatici, IAFES Division, Viale Trieste, 127, Viterbo, 01100, Italy; Department for Innovation in Biological, Agro-food and Forest Systems (DIBAF), University of Tuscia, Italy and RUDN University, Smart Urban Nature Laboratory, Via S. Camillo De Lellis Snc, 01100, Viterbo, 6 Miklukho-Maklaya Street, Moscow, 117198, Russian Federation","Chiriacò, M.V., CMCC – Fondazione Centro Euro-Mediterraneo Sui Cambiamenti Climatici, IAFES Division, Viale Trieste, 127, Viterbo, 01100, Italy; Valentini, R., Department for Innovation in Biological, Agro-food and Forest Systems (DIBAF), University of Tuscia, Italy and RUDN University, Smart Urban Nature Laboratory, Via S. Camillo De Lellis Snc, 01100, Viterbo, 6 Miklukho-Maklaya Street, Moscow, 117198, Russian Federation",climate change mitigation; land sector; land-based approach; land-based mitigation options; life cycle assessment (lca); livestock ghg emissions; sustainable land management
