Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Ritchie H., Reay D.S., Higgins P.","57192101314;7102665159;35999538800;","Potential of Meat Substitutes for Climate Change Mitigation and Improved Human Health in High-Income Markets",2018,"Frontiers in Sustainable Food Systems","2",, 16,"","",,13,"10.3389/fsufs.2018.00016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053496496&doi=10.3389%2ffsufs.2018.00016&partnerID=40&md5=4bdb952ae59a313448e34649e89bc2d2","School of GeoSciences, and Moray House School of Education, University of Edinburgh, Edinburgh, United Kingdom","Ritchie, H., School of GeoSciences, and Moray House School of Education, University of Edinburgh, Edinburgh, United Kingdom; Reay, D.S., School of GeoSciences, and Moray House School of Education, University of Edinburgh, Edinburgh, United Kingdom; Higgins, P., School of GeoSciences, and Moray House School of Education, University of Edinburgh, Edinburgh, United Kingdom","The global food system contributes approximately one-quarter of greenhouse gas (GHG) emissions, with these dominated by the livestock sector. The projected increase in livestock demand is likely to undermine efforts to keep global average warming below a 2°C target. A carbon tax is often proposed as the preferred demand-side mechanism for reduced meat consumption. Previous studies, however, suggest that while this could prove successful in reducing net global emissions, it may worsen nutritional standards in lowest-income nations. An alternative market mechanism which may simultaneously reduce GHG emissions and improve health at all income levels is a reduction in the price of meat substitute products (meat-free proteins with particular nutritional and aesthetic similarities to meat). Using a combined ecological and health modeling approach, we project the associated GHG savings and health benefits associated with a stepwise reduction in the price of meat substitute products. Utilizing food demand elasticities, we quantify the substitution of meat commodities across a range of social acceptability scenarios. Our results show that meat substitute products—integrated within a “flexitarian” approach (primarily vegetarian but occasionally eating meat and fish)—have a large potential for reducing GHG emissions (up to 583 MtCO2e per year) and improving nutritional outcomes (up to 52,700 premature deaths avoided per year). However, this capacity is strongly dependent on a combination of price reductions and improved social acceptability of this product group; therefore both will be essential. © Copyright © 2018 Ritchie, Reay and Higgins.","dietary change; Flexitarian; greenhouse gas emissions; health; meat substitutes; sustainable protein",,"Ritchie, H.; School of GeoSciences, United Kingdom; email: hannah.ritchie@ed.ac.uk",,"Frontiers Media S.A.",2571581X,,,,"English","Front. Sustain. food Syst.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85053496496
"Dlugolecki A., Keykhah M.","6507278949;6602998437;","Climate change and the insurance sector: Its role in adaptation and mitigation",2018,"The Business of Climate Change: Corporate Responses to Kyoto",,,,"147","165",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846396379&partnerID=40&md5=15d1d2bc714d67744823a92f440be587","Climate Research Unit, University of East Anglia, United Kingdom; University of Oxford, United Kingdom","Dlugolecki, A., Climate Research Unit, University of East Anglia, United Kingdom; Keykhah, M., University of Oxford, United Kingdom",[No abstract available],,,"Dlugolecki, A.; Climate Research Unit, United Kingdom; email: andlug@hotmail.com",,"Taylor and Francis",,9781351281683; 9781874719571,,,"English","The Bus. of Clim. Chang.: Corp. Responses to Kyoto",Book Chapter,"Final","",Scopus,2-s2.0-33846396379
"Butterfield B.","57191957575;","The potential role of climate change litigation in furthering the mitigation objectives of the Paris Agreement",2018,"Asia Pacific Journal of Environmental Law","21","1",,"29","49",,1,"10.4337/apjel.2018.01.02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051792929&doi=10.4337%2fapjel.2018.01.02&partnerID=40&md5=9c4412433fbfa0265067f270693b2ad5","Office for Environmental Programs, University of Melbourne, Australia","Butterfield, B., Office for Environmental Programs, University of Melbourne, Australia","The potential of litigation to influence government decisions with respect to mitigating the damaging impacts of climate change has been tested in the Netherlands, and may soon be tested in the United States. This article will consider the role of mitigation in the Paris Agreement, highlighting the gap between the climate-change goal the Parties have collectively agreed to support, and the virtual impossibility of achieving it on the basis of their individual non-binding commitments as outlined to date in their Nationally Determined Contributions. In light of effective international solutions being slow to eventuate, the potential role of climate change litigation in promoting positive climate outcomes will be examined through reviewing two cases, brought by citizens against their own government and aimed at reducing their nation's greenhouse gas emissions and its reliance on fossil fuels. The prospect of the Australian government being held accountable in the courts for its inaction on climate change will then be discussed, with reference to both the potential influence of international judicial activism, and how Australia's international obligations to limit the country's collective emissions under the UNFCCC, the Kyoto Protocol and the Paris Agreement might be given greater legal force. © 2018 The Author.","Australia; Climate change; Liability; Litigation; Mitigation; Nationally determined contributions (NDCs); Paris agreement; United Nations Framework Convention on Climate Change (UNFCCC)","fossil fuel; Australia; carbon footprint; climate change; coal mining; France; government; greenhouse effect; greenhouse gas; law suit; negligence; priority journal; renewable energy; Review; United Nations","Butterfield, B.; Office for Environmental Programs, Australia",,"Edward Elgar Publishing Ltd.",13852140,,APJLF,,"English","Asia Pac. J. Environ. Law",Review,"Final","",Scopus,2-s2.0-85051792929
"Turner P.A., Field C.B., Lobell D.B., Sanchez D.L., Mach K.J.","56452268400;7202432336;6603095001;56241637900;46461546000;","Unprecedented rates of land-use transformation in modelled climate change mitigation pathways",2018,"Nature Sustainability","1","5",,"240","245",,19,"10.1038/s41893-018-0063-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051790792&doi=10.1038%2fs41893-018-0063-7&partnerID=40&md5=939123cc930b635f64fe6f1927187e9a","Department of Global Ecology, Carnegie Institution for Science, Stanford, CA, United States; Stanford Woods Institute for the Environment, Stanford University, Stanford, CA, United States; Center on Food Security and the Environment, Stanford University, Stanford, CA, United States; Department of Earth System Science, Stanford University, Stanford, CA, United States","Turner, P.A., Department of Global Ecology, Carnegie Institution for Science, Stanford, CA, United States; Field, C.B., Stanford Woods Institute for the Environment, Stanford University, Stanford, CA, United States; Lobell, D.B., Center on Food Security and the Environment, Stanford University, Stanford, CA, United States, Department of Earth System Science, Stanford University, Stanford, CA, United States; Sanchez, D.L., Department of Global Ecology, Carnegie Institution for Science, Stanford, CA, United States; Mach, K.J., Department of Earth System Science, Stanford University, Stanford, CA, United States","Integrated assessment models generate climate change mitigation scenarios consistent with global temperature targets. To limit warming to 2 °C, cost-effective mitigation pathways rely on extensive deployments of CO2 removal (CDR) technologies, including multi-gigatonne yearly CDR from the atmosphere through bioenergy with carbon capture and storage (BECCS) and afforestation/reforestation. While these assumed CDR deployments keep ambitious temperature targets in reach, the associated rates of land-use transformation have not been evaluated. Here, we view implied integrated-assessment-model land-use conversion rates within a historical context. In scenarios with a likely chance of limiting warming to 2 °C in 2100, the rate of energy cropland expansion supporting BECCS proceeds at a median rate of 8.8 Mha yr -1 and 8.4% yr -1 . This rate exceeds - by more than threefold - the observed expansion of soybean, the most rapidly expanding commodity crop. In some cases, mitigation scenarios include abrupt reversal of deforestation, paired with massive afforestation/reforestation. Historical land-use transformation rates do not represent an upper bound for future transformation rates. However, their stark contrast with modelled BECCS deployment rates implies challenges to explore in harnessing - or presuming the ready availability of - large-scale biomass-based CDR in the decades ahead. Reducing BECCS deployment to remain within these historical expansion rates would mean either the 2 °C target is missed or additional mitigation would need to occur elsewhere. © 2018 The Author(s).",,"Biomass; Carbon capture; Climate models; Clock and data recovery circuits (CDR circuits); Cost effectiveness; Deforestation; Expansion; Land use; Reforestation; Climate change mitigation; Conversion rates; Cost effective; Deployment rates; Expansion rate; Global temperatures; Integrated assessment models; Transformation rates; Climate change","Turner, P.A.; Department of Global Ecology, United States; email: pturner@carnegiescience.edu",,"Nature Publishing Group",23989629,,,,"English","Nature Sustain.",Article,"Final","",Scopus,2-s2.0-85051790792
"Wolkinger B., Haas W., Bachner G., Weisz U., Steininger K., Hutter H.-P., Delcour J., Griebler R., Mittelbach B., Maier P., Reifeltshammer R.","55329797700;23976021400;56073880300;36806982800;6701445158;7006968221;57201799025;35310132600;57201793959;57204309778;56113558100;","Evaluating health co-benefits of climate change mitigation in urban mobility",2018,"International Journal of Environmental Research and Public Health","15","5", 880,"","",,10,"10.3390/ijerph15050880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046155323&doi=10.3390%2fijerph15050880&partnerID=40&md5=45fac42404b9c7dffaf10e3b4ca365b6","Wegener Center for Climate and Global Change, University of Graz, Brandhofgasse 5, Graz, A-8010, Austria; Institute of Social Ecology, Alpen-Adria University Klagenfurt, Schottenfeldgasse 29, Vienna, A-1070, Austria; Institute of Social Ecology, University of Natural Resources and Life Sciences, Vienna, Schottenfeldgasse 29, Vienna, A-1070, Austria; Department of Economics, University of Graz, Universitaetsstrasse 15, Graz, A-8010, Austria; Department of Environmental Health, Center for Public Health, Medical University of Vienna, Spitalgasse 23, Vienna, A-1090, Austria; Austrian Public Health Institute (Gesundheit Österreich GmbH), Stubenring 6, Vienna, A-1010, Austria; Institute of Internal Combustion Engines and Thermodynamics, Graz University of Technology, Inffeldgasse 19, Graz, A-8010, Austria","Wolkinger, B., Wegener Center for Climate and Global Change, University of Graz, Brandhofgasse 5, Graz, A-8010, Austria; Haas, W., Institute of Social Ecology, Alpen-Adria University Klagenfurt, Schottenfeldgasse 29, Vienna, A-1070, Austria, Institute of Social Ecology, University of Natural Resources and Life Sciences, Vienna, Schottenfeldgasse 29, Vienna, A-1070, Austria; Bachner, G., Wegener Center for Climate and Global Change, University of Graz, Brandhofgasse 5, Graz, A-8010, Austria; Weisz, U., Institute of Social Ecology, Alpen-Adria University Klagenfurt, Schottenfeldgasse 29, Vienna, A-1070, Austria, Institute of Social Ecology, University of Natural Resources and Life Sciences, Vienna, Schottenfeldgasse 29, Vienna, A-1070, Austria; Steininger, K., Wegener Center for Climate and Global Change, University of Graz, Brandhofgasse 5, Graz, A-8010, Austria, Department of Economics, University of Graz, Universitaetsstrasse 15, Graz, A-8010, Austria; Hutter, H.-P., Department of Environmental Health, Center for Public Health, Medical University of Vienna, Spitalgasse 23, Vienna, A-1090, Austria; Delcour, J., Austrian Public Health Institute (Gesundheit Österreich GmbH), Stubenring 6, Vienna, A-1010, Austria; Griebler, R., Austrian Public Health Institute (Gesundheit Österreich GmbH), Stubenring 6, Vienna, A-1010, Austria; Mittelbach, B., Wegener Center for Climate and Global Change, University of Graz, Brandhofgasse 5, Graz, A-8010, Austria; Maier, P., Institute of Social Ecology, Alpen-Adria University Klagenfurt, Schottenfeldgasse 29, Vienna, A-1070, Austria; Reifeltshammer, R., Institute of Internal Combustion Engines and Thermodynamics, Graz University of Technology, Inffeldgasse 19, Graz, A-8010, Austria","There is growing recognition that implementation of low-carbon policies in urban passenger transport has near-term health co-benefits through increased physical activity and improved air quality. Nevertheless, co-benefits and related cost reductions are often not taken into account in decision processes, likely because they are not easy to capture. In an interdisciplinary multi-model approach we address this gap, investigating the co-benefits resulting from increased physical activity and improved air quality due to climate mitigation policies for three urban areas. Additionally we take a (macro-)economic perspective, since that is the ultimate interest of policy-makers. Methodologically, we link a transport modelling tool, a transport emission model, an emission dispersion model, a health model and a macroeconomic Computable General Equilibrium (CGE) model to analyze three climate change mitigation scenarios. We show that higher levels of physical exercise and reduced exposure to pollutants due to mitigation measures substantially decrease morbidity and mortality. Expenditures are mainly born by the public sector but are mostly offset by the emerging co-benefits. Our macroeconomic results indicate a strong positive welfare effect, yet with slightly negative GDP and employment effects. We conclude that considering economic co-benefits of climate change mitigation policies in urban mobility can be put forward as a forceful argument for policy makers to take action. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","Air pollution; Climate change mitigation; Health co-benefits; Interdisciplinary approach; Physical activity; Urban mobility","air quality; atmospheric pollution; climate change; computable general equilibrium analysis; emission inventory; environmental economics; environmental policy; interdisciplinary approach; macroeconomics; mitigation; mobility; physical activity; urban transport; air pollutant; air pollution control; air quality; Article; climate change; cost benefit analysis; employment; environmental exposure; exercise; gross national product; health care cost; human; morbidity; mortality; physical activity; public sector; traffic and transport; urban area; welfare; air pollution; Austria; economics; environmental policy; exercise; exhaust gas; health care policy; health promotion; prevention and control; procedures; theoretical model; urban health; Air Pollutants; Air Pollution; Austria; Climate Change; Cost-Benefit Analysis; Environmental Exposure; Environmental Policy; Exercise; Health Policy; Health Promotion; Humans; Models, Theoretical; Transportation; Urban Health; Vehicle Emissions","Wolkinger, B.; Wegener Center for Climate and Global Change, Brandhofgasse 5, Austria; email: brigitte.wolkinger@uni-graz.at",,"MDPI AG",16617827,,,"29710784","English","Int. J. Environ. Res. Public Health",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85046155323
"Becker S., Sparks P.","57190687294;24308156200;","Talking about climate change mitigation: People's views on different levels of action",2018,"Sustainability (Switzerland)","10","5", 1357,"","",,4,"10.3390/su10051357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046076568&doi=10.3390%2fsu10051357&partnerID=40&md5=4bc0080d2307dc23937459b57d1e8341","School of Psychology, University of Sussex, Falmer, BN1 9QH, United Kingdom","Becker, S., School of Psychology, University of Sussex, Falmer, BN1 9QH, United Kingdom; Sparks, P., School of Psychology, University of Sussex, Falmer, BN1 9QH, United Kingdom","Previous research has examined public views on climate change and pro-environmental behavior; however, there has been little focus on in-depth qualitative examination of views on mitigation strategies carried out by different social actors. This paper examines how people discuss strategies to mitigate climate change and the relative responsibilities of individuals, the UK government, and corporations. Twenty people were interviewed about what they thought should be done to reduce the degree of climate change. Three main themes in their responses are identified: (1) representations of climate change; (2) responsibility for action; and (3) opposing environmental and economic interests. Overall, there was support for a variety of climate change mitigation strategies. There was some emphasis on individual behavior change combined with suggestions about greater information provision and the importance of personal choice. Although some participants criticized economic and profit-oriented structures, there was a strong sense among participants that change in this regard was unlikely. An expansion of examples of alternative strategies to address climate change could contribute towards transcending individualized approaches and accentuate perceptions of possibilities for significant social change. © 2018 by the authors.","Climate change; Individualization; Mitigation strategies; Public perception; Responsibility","climate change; economic structure; government; individual variation; individualism; mitigation; perception; public attitude; questionnaire survey; strategic approach; United Kingdom","Becker, S.; School of Psychology, United Kingdom; email: BeckerS@cardiff.ac.uk",,"MDPI AG",20711050,,,,"English","Sustainability",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85046076568
"Zengerling C.","57201588638;","Action on climate change mitigation in German and Chinese cities – A search for emerging patterns of accountability",2018,"Habitat International","75",,,"147","153",,4,"10.1016/j.habitatint.2018.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045309993&doi=10.1016%2fj.habitatint.2018.03.008&partnerID=40&md5=681b55606a6e6132cfff653f3eaf66fb","HafenCity University Hamburg, Überseeallee 16, Hamburg, 20457, Germany","Zengerling, C., HafenCity University Hamburg, Überseeallee 16, Hamburg, 20457, Germany","The article explores emerging patterns of accountability in German and Chinese low-carbon urban development. It draws on multi-level vertical and horizontal governance perspectives and identifies the current status of institutional innovations in order to steer action on climate change mitigation in urban environments. To underpin the relevance of the research, it is shown that factual responsibilities as well as political mandates, require enhanced and accountable action on climate change mitigation at city level. Drawing on political documents, scientific literature, as well as institutional arrangements developed under the international regime of climate governance, four components of accountable governance are identified and applied to the case studies of Germany and China, with a focus on the cities of Hamburg and Shenzhen. © 2018 Elsevier Ltd",,"accountability; climate change; environmental management; urban area; urban development; China; Germany; Guangdong; Hamburg [Germany]; Hamburg [Hamburg (STT)]; Shenzhen",,,"Elsevier Ltd",01973975,,,,"English","Habitat Int.",Article,"Final","",Scopus,2-s2.0-85045309993
"Davydova J., Pearson A.R., Ballew M.T., Schuldt J.P.","57199396023;12790445300;56811675400;25226021600;","Illuminating the link between perceived threat and control over climate change: the role of attributions for causation and mitigation",2018,"Climatic Change","148","1-2",,"45","59",,3,"10.1007/s10584-018-2181-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044776316&doi=10.1007%2fs10584-018-2181-7&partnerID=40&md5=b141fce6b53e7c3ad4bf511ec50ffc94","Department of Communication, Cornell University, 497 Mann Library Building, Ithaca, NY  14853-4301, United States; Department of Psychology, Pomona College, Claremont, CA, United States; Claremont Graduate University, Claremont, CA, United States","Davydova, J., Department of Communication, Cornell University, 497 Mann Library Building, Ithaca, NY  14853-4301, United States; Pearson, A.R., Department of Psychology, Pomona College, Claremont, CA, United States, Claremont Graduate University, Claremont, CA, United States; Ballew, M.T., Claremont Graduate University, Claremont, CA, United States; Schuldt, J.P., Department of Communication, Cornell University, 497 Mann Library Building, Ithaca, NY  14853-4301, United States","Perceiving greater threat from climate change has been shown to positively affect beliefs about humanity’s ability to mitigate the threat. We examined two possible mediators of this paradoxical relationship utilizing data from a large socioeconomically diverse sample of the US adults (n = 1040) collected in 2015. Specifically, we predicted that attributing responsibility for either causing or mitigating climate change to government entities would bolster perceived collective control for addressing the problem. Results of structural equation modeling suggest that both types of attributions mediate the relationship between perceived threat and control over climate change, with the full model accounting for 57% of the variance in perceived collective control. Moreover, for the overall sample, attributions of responsibility for mitigating climate change emerged as a stronger mediator of perceived control than did causal attributions and as the only significant mediator among Republicans. We consider implications of these findings for understanding the role of attribution processes in public engagement on climate change and the effective communication of environmental risks. © 2018, Springer Science+Business Media B.V., part of Springer Nature.","Attributions of responsibility; Climate change; Collective control; Mitigation beliefs; Threat perception","Climate models; Public risks; Attributions of responsibility; Causal attributions; Effective communication; Environmental risks; Government entities; Mitigation beliefs; Public engagement; Structural equation modeling; Climate change; climate change; climate modeling; governance approach; mitigation; perception; socioeconomic conditions; variance analysis; United States","Davydova, J.; Department of Communication, 497 Mann Library Building, United States; email: yd252@cornell.edu",,"Springer Netherlands",01650009,,CLCHD,,"English","Clim. Change",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85044776316
"Lungarska A., Chakir R.","57191274388;26656565800;","Climate-induced Land Use Change in France: Impacts of Agricultural Adaptation and Climate Change Mitigation",2018,"Ecological Economics","147",,,"134","154",,9,"10.1016/j.ecolecon.2017.12.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044387973&doi=10.1016%2fj.ecolecon.2017.12.030&partnerID=40&md5=48138bd5daf204302c6d89689078bfac","Économie Publique, INRA, AgroParisTech, Université Paris-Saclay, Thiverval-Grignon, 78850, France","Lungarska, A., Économie Publique, INRA, AgroParisTech, Université Paris-Saclay, Thiverval-Grignon, 78850, France; Chakir, R., Économie Publique, INRA, AgroParisTech, Université Paris-Saclay, Thiverval-Grignon, 78850, France","Interaction between mitigation and adaptation is a key question for the design of climate policies. In this paper, we study how land use adaptation to climate change impacts land use competition in the agriculture, forest and other land use (AFOLU) sector and how a mitigation policy in agriculture might affect this competition. We use for this purpose two sector-specific bio-economic models of agriculture and forest combined with an econometric land use shares model to simulate the impacts of two climate change scenarios (A2 and B1, 2100 horizon), and a greenhouse gas emissions from agriculture policy consisting of a tax of between 0 and 200 €/tCO2 equivalent. Our results show that both climate change scenarios lead to an increase in the area devoted to agriculture at the expense of forest which could have a negative impact on reducing greenhouse gas emissions responsible for climate change. The mitigation policy would curtail agricultural expansion, and thus could counteract the effects of land use adaptation to climate change. In other words, accounting for land use competition results in a reduction of the abatement costs of the mitigation policy in the agricultural sector. © 2018 Elsevier B.V.","Adaptation; Agriculture; Climate change; Greenhouse gas tax; Land rent; Mitigation; Spatial land use share model","adaptive management; agricultural policy; carbon emission; climate change; climate effect; econometrics; environmental economics; environmental policy; greenhouse gas; land use change; mitigation; pollution tax; France","Lungarska, A.; Économie Publique, France; email: Anna.Lungarska@inra.fr",,"Elsevier B.V.",09218009,,ECECE,,"English","Ecol. Econ.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85044387973
"Vellinga T.V., de Vries M.","6602995859;35263917800;","Effectiveness of climate change mitigation options considering the amount of meat produced in dairy systems",2018,"Agricultural Systems","162",,,"136","144",,15,"10.1016/j.agsy.2018.01.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041406361&doi=10.1016%2fj.agsy.2018.01.026&partnerID=40&md5=0554e5e3377beb4d7830dcfd92b8b466","Wageningen Livestock Research, Wageningen, Netherlands","Vellinga, T.V., Wageningen Livestock Research, Wageningen, Netherlands; de Vries, M., Wageningen Livestock Research, Wageningen, Netherlands","Many of the climate change mitigation options for dairy systems that aim at optimizing milk production imply a reduced output of meat from these systems. The objective of this study was to evaluate effectiveness of a number of mitigation strategies for dairy systems, taking into account compensation for changes in the amount of beef produced. Four commonly used mitigation strategies for dairy systems were evaluated using an LCA modelling approach: increasing the milk production per cow, extending the productive life span of cows, increasing the calving interval, and changing breed from Holstein Friesian to Jersey. The Dutch dairy system was taken as a case study. For each scenario, analyses were done in two steps. First, effects of the mitigation strategy on production of milk and carcass weight from the dairy system were calculated. Second, GHG emission intensities were calculated for three different functional units (FU): one kg of fat and protein corrected milk (FPCM), one kg of carcass weight (CW), and a fixed amount of milk and beef (i.e. 1 kg FPCM and 40 g CW). In the third FU, in case the amount of CW produced by the dairy system was lower than 40 g per kg FPCM, the remainder was compensated by CW produced in pure beef systems, assuming a GHG emission intensity of 30 kg CO2-eq. per kg CW for pure beef. Results showed a reduction in CW per kg FPCM from the dairy system in all four mitigation strategies. Considering GHG emissions per kg of FPCM only, the strategies reduced emissions by 0.2 to 18.1%. When considering emissions per kg of CW only, emissions were reduced by 12.5 to 48.9%. However, when we used a FU of 1 kg FPCM and 40 g CW, changes in emissions ranged from −0.2 to 3.8%. This was caused by the compensation of the lower CW production from dairy systems by CW from pure beef systems. Differences in emissions per kg FPCM and 40 g CW were smaller when the assumed emission intensity of pure beef was lower. We concluded that the mitigation strategies for dairy systems evaluated in this study were less effective for reduction of GHG emissions from production of milk and beef, when accounting for changes in the amount of beef produced. This study showed that the challenge of reducing GHG emissions of milk and beef production is interrelated. Hence, analyses of GHG emissions related to changes in production of milk and beef requires an integrated approach, beyond the system boundaries of the dairy farm. © 2018 The Authors","Beef; Dairy; Greenhouse gas; Milk; Mitigation","agricultural emission; cattle; climate change; compensation system; dairy farming; greenhouse gas; life cycle analysis; meat; milk production; mitigation; weight","Vellinga, T.V.P.O. Box 338, Netherlands; email: theun.vellinga@wur.nl",,"Elsevier Ltd",0308521X,,AGSYD,,"English","Agric. Syst.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85041406361
"Aubin J., Fontaine C., Callier M., Roque d’orbcastel E.","7101701284;57196120679;15041657800;57196123091;","Blue mussel (Mytilus edulis) bouchot culture in Mont-St Michel Bay: potential mitigation effects on climate change and eutrophication",2018,"International Journal of Life Cycle Assessment","23","5",,"1030","1041",,11,"10.1007/s11367-017-1403-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031904690&doi=10.1007%2fs11367-017-1403-y&partnerID=40&md5=b11276f4e7d6d5ce918e799171a39d03","INRA, UMR 1069, Sol Agro et hydrosystème Spatialisation, INRA AGROCAMPUS OUEST, 65 rue de Saint Brieuc, CS 84215, Rennes Cedex, 35042, France; Ifremer, UMR MARBEC (IRD, Ifremer, UM, CNRS), Route de Maguelone, Palavas les Flots, 34250, France; Ifremer, UMR MARBEC (IRD, Ifremer, UM, CNRS), Avenue Jean Monnet, Sète, 34203, France","Aubin, J., INRA, UMR 1069, Sol Agro et hydrosystème Spatialisation, INRA AGROCAMPUS OUEST, 65 rue de Saint Brieuc, CS 84215, Rennes Cedex, 35042, France; Fontaine, C., INRA, UMR 1069, Sol Agro et hydrosystème Spatialisation, INRA AGROCAMPUS OUEST, 65 rue de Saint Brieuc, CS 84215, Rennes Cedex, 35042, France; Callier, M., Ifremer, UMR MARBEC (IRD, Ifremer, UM, CNRS), Route de Maguelone, Palavas les Flots, 34250, France; Roque d’orbcastel, E., Ifremer, UMR MARBEC (IRD, Ifremer, UM, CNRS), Avenue Jean Monnet, Sète, 34203, France","Purpose: Bivalve production is an important aquaculture activity worldwide, but few environmental assessments have focused on it. In particular, bivalves’ ability to extract nutrients from the environment by intensely filtering water and producing a shell must be considered in the environmental assessment. Methods: LCA of blue mussel bouchot culture (grown out on wood pilings) in Mont Saint-Michel Bay (France) was performed to identify its impact hotspots. The chemical composition of mussel flesh and shell was analyzed to accurately identify potential positive effects on eutrophication and climate change. The fate of mussel shells after consumption was also considered. Results and discussion: Its potential as a carbon-sink is influenced by assumptions made about the carbon sequestration in wooden bouchots and in the mussel shell. The fate of the shells which depends on management of discarded mussels and household waste plays also an important role. Its carbon-sink potential barely compensates the climate change impact induced by the use of fuel used for on-site transportation. The export of N and P in mussel flesh slightly decreases potential eutrophication. Environmental impacts of blue mussel culture are determined by the location of production and mussel yields, which are influenced by marine currents and the distance to on-shore technical base. Conclusions: Bouchot mussel culture has low environmental impacts compared to livestock systems, but the overall environmental performances depend on farming practices and the amount of fuel used. Changes to the surrounding ecosystem induced by high mussel density must be considered in future LCA studies. © 2017, Springer-Verlag GmbH Germany.","Carbon sink; Climate change; Eutrophication; LCA; Mussel","nitrogen; phosphorus; acidification; animal shell; animal tissue; Article; bay; carbon sequestration; carbon sink; chemical composition; climate change; environmental impact assessment; eutrophication; France; life cycle assessment; livestock; Mytilus edulis; nonhuman; priority journal","Aubin, J.; INRA, 65 rue de Saint Brieuc, CS 84215, France; email: joel.aubin@inra.fr",,"Springer Verlag",09483349,,IJLCF,,"English","Int. J. Life Cycle Assess.",Article,"Final","",Scopus,2-s2.0-85031904690
"Giesekam J., Tingley D.D., Cotton I.","55803606800;57203245672;57200515828;","Aligning carbon targets for construction with (inter)national climate change mitigation commitments",2018,"Energy and Buildings","165",,,"106","117",,13,"10.1016/j.enbuild.2018.01.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041479719&doi=10.1016%2fj.enbuild.2018.01.023&partnerID=40&md5=a0c2c9a387b8133661aae4f3fe2bc7ac","Sustainability Research Institute, University of Leeds, Leeds, LS2 9JT, United Kingdom; Department of Civil and Structural Engineering, University of Sheffield, Sheffield, S1 3JD, United Kingdom","Giesekam, J., Sustainability Research Institute, University of Leeds, Leeds, LS2 9JT, United Kingdom; Tingley, D.D., Department of Civil and Structural Engineering, University of Sheffield, Sheffield, S1 3JD, United Kingdom; Cotton, I., Sustainability Research Institute, University of Leeds, Leeds, LS2 9JT, United Kingdom","In the face of a changing climate, a growing number of construction firms are adopting carbon reduction targets on individual projects and across their portfolios. In the wake of the Paris Agreement, some firms are seeking a means of aligning their targets with sectoral, national and international mitigation commitments. There are numerous ways by which such an alignment can be achieved, each requiring different assumptions. Using data from the UK construction industry, this paper reviews current company commitments and progress in carbon mitigation; analyses the unique challenges in aligning construction targets, and presents a series of possible sectoral decarbonisation trajectories. The results highlight the disparity between current company targets and the range of possible trajectories. It is clear that a cross-industry dialogue is urgently required to establish an appropriate response that delivers both a widely-accepted target trajectory and a plan for its delivery. This paper is intended to stimulate and support this necessary debate by illustrating the impact of different methodological assumptions and highlighting the critical features of an appropriate response. © 2018 The Authors","Buildings; Climate change mitigation; Construction; Embodied carbon; Paris Agreement; Science Based Targets; Whole life carbon","Buildings; Construction; Construction industry; Trajectories; Carbon mitigation; Carbon reduction; Climate change mitigation; Construction firms; Critical features; Embodied carbons; Target trajectory; UK construction industry; Climate change","Giesekam, J.; Sustainability Research Institute, United Kingdom; email: j.giesekam@leeds.ac.uk",,"Elsevier Ltd",03787788,,ENEBD,,"English","Energy Build.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85041479719
